Reference, Value, Footprint, Datasheet, MANUFACTURER, PARTREV
"U1","ESP32-DEVKITC-32D","_Defying_Gravity_Parts:MODULE_ESP32-DEVKITC-32D","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32_datasheet_en.pdf","Espressif Systems","4"
"C38","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"R28","22Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C39","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"R29","22Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C310","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"R210","22Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"C311","1nF","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"R211","22Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R22","22Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R21","22Ω","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"U33","ADC088S102CIMT_NOPB","_Defying_Gravity_Parts:ADC088S102CIMT&slash_NOPB","https://www.ti.com/lit/ds/symlink/adc088s102.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1635440733857&ref_url=https%253A%252F%252Fwww.mouser.com%252F"
"U32","ADC088S102CIMT_NOPB","_Defying_Gravity_Parts:ADC088S102CIMT&slash_NOPB","https://www.ti.com/lit/ds/symlink/adc088s102.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1635440733857&ref_url=https%253A%252F%252Fwww.mouser.com%252F"
"U31","ADC088S102CIMT_NOPB","_Defying_Gravity_Parts:ADC088S102CIMT&slash_NOPB","https://www.ti.com/lit/ds/symlink/adc088s102.pdf?HQS=dis-mous-null-mousermode-dsf-pf-null-wwe&ts=1635440733857&ref_url=https%253A%252F%252Fwww.mouser.com%252F"
